COLECCIÓN V.A. BELAUNDE. SERIE DIPLOMAS       ARCHIVO HISTÓRICO RIVA-AGÜERO   IRA- PUCP,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,referenceCode,title,date,levelOfDescription
Signatura,Fecha cronica,Fecha topica,Institucion,Categoria,Pais,Observaciones,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0001,1951-Jun.-02,Madrid,"Consejo Superior de Investigaciones Cientificas. El
Instituto Gonzalo Fernández de
Oviedo",Miembro Correspondiente,España,Sello de la Institución.,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0002,1951-Abr.-27,Trujillo,Patronato de Conservación del Solar de los Pizarro,Patrono de Honor,Perú,Pergamino con ilustraciones a colores.,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0003,1960-Nov.-09,Nueva York,The Consular Law Society,Miembro Honorario,EE.UU.,,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0004,1949-Jul.-19,Santa María de la Rábida,Real Sociedad Colombina Onubense,Socio de Honor,España,,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0005,1958-Feb.-21,Lima,Presidencia de la República,"Gran Cruz de la Orden al Mérito por Servicios
Distinguidos",Perú,Sello.,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0006,1944-May.-4,"Boston, Massachusetts",American Academy of Arts and Sciences,Miembro Extranjero Honorario,EE.UU.,,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0007,1956-Feb.-22,Roma,República de Italia,Caballero de la Gran Cruz,Italia,"Il Capo del Cerimoniale Diplomatico della
Republica",dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0008,1949-Jul.-18,Madrid,Ministerio de Asuntos Exteriores.,Gran Cruz de la Orden de Isabel la Católica,España,"Cancilleria de las Ordenes. Esquina
izquierda rota.",dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0009,1943-Dic.-28,Santiago de Chile,Instituto Chileno de Estudios Internacionales,Miembro Honorario,Chile,Sello de agua del Instituto.,dc6a224f,Sin título,2025-03-13,Documento
VAB-DIP-0010,1944-May.-20,Madrid,Estado Español,Gran Cruz de Alfonso X El Sabio,España,Sello de agua de la Orden.,dc6a224f,Sin título,2025-03-13,Documento
